id,reporte_id,tipo_trabajo,descripcion,prioridad,materiales,observaciones_materiales,created_at,updated_at
1,1,reparacion,Es necesario reparar el sistema dañado,urgente,Modem Huawei,,2023-01-01 03:51:00,2023-01-02 18:51:00
2,2,instalacion,Hay que ir a instalar una nueva conexión,baja,,Verificar stock en bodega,2023-01-01 17:32:00,2023-01-04 16:32:00
3,3,mantenimiento,Realizar mantenimiento preventivo,normal,Antena de 5GHz,,2023-01-04 01:45:00,2023-01-04 06:45:00
4,4,instalacion,Hay que ir a instalar una nueva conexión,normal,,Verificar stock en bodega,2023-01-06 07:53:00,2023-01-07 06:53:00
5,5,mantenimiento,Realizar mantenimiento preventivo,urgente,Antena de 5GHz,Verificar stock en bodega,2023-01-07 09:55:00,2023-01-07 12:55:00
6,6,instalacion,Hay que ir a instalar una nueva conexión,alta,Modem Huawei,Verificar stock en bodega,2023-01-05 05:11:00,2023-01-05 18:11:00
7,7,configuracion,Configurar nuevamente el equipo,normal,Modem Huawei,Verificar stock en bodega,2023-01-02 21:35:00,2023-01-03 00:35:00
8,8,instalacion,Hay que ir a instalar una nueva conexión,urgente,"Router TP-Link, Cable UTP",,2023-01-04 14:38:00,2023-01-07 00:38:00
9,9,reparacion,Es necesario reparar el sistema dañado,alta,Modem Huawei,,2023-01-03 14:39:00,2023-01-04 05:39:00
10,10,mantenimiento,Realizar mantenimiento preventivo,urgente,Modem Huawei,Verificar stock en bodega,2023-01-01 18:04:00,2023-01-02 02:04:00
11,11,reparacion,Es necesario reparar el sistema dañado,urgente,"Router TP-Link, Cable UTP",,2023-01-01 05:05:00,2023-01-02 20:05:00
12,12,reparacion,Es necesario reparar el sistema dañado,alta,Antena de 5GHz,Verificar stock en bodega,2023-01-03 05:19:00,2023-01-05 18:19:00
13,13,instalacion,Hay que ir a instalar una nueva conexión,alta,Modem Huawei,Verificar stock en bodega,2023-01-08 05:35:00,2023-01-08 19:35:00
14,14,reparacion,Es necesario reparar el sistema dañado,urgente,Modem Huawei,Verificar stock en bodega,2023-01-04 21:30:00,2023-01-05 10:30:00
15,15,mantenimiento,Realizar mantenimiento preventivo,baja,,Verificar stock en bodega,2023-01-08 08:19:00,2023-01-09 01:19:00
16,16,instalacion,Hay que ir a instalar una nueva conexión,alta,"Router TP-Link, Cable UTP",,2023-01-06 06:48:00,2023-01-08 19:48:00
17,17,instalacion,Hay que ir a instalar una nueva conexión,normal,Modem Huawei,Verificar stock en bodega,2023-01-08 02:28:00,2023-01-10 01:28:00
18,18,instalacion,Hay que ir a instalar una nueva conexión,normal,"Router TP-Link, Cable UTP",,2023-01-02 04:44:00,2023-01-04 00:44:00
19,19,reparacion,Es necesario reparar el sistema dañado,normal,"Router TP-Link, Cable UTP",,2023-01-06 05:59:00,2023-01-07 08:59:00
20,20,configuracion,Configurar nuevamente el equipo,alta,Switch de 8 puertos,Verificar stock en bodega,2023-01-02 20:49:00,2023-01-04 09:49:00
21,21,mantenimiento,Realizar mantenimiento preventivo,alta,Switch de 8 puertos,Verificar stock en bodega,2023-01-01 13:43:00,2023-01-04 12:43:00
22,22,configuracion,Configurar nuevamente el equipo,urgente,Switch de 8 puertos,,2023-01-10 09:17:00,2023-01-11 10:17:00
23,23,configuracion,Configurar nuevamente el equipo,alta,Antena de 5GHz,Verificar stock en bodega,2023-01-14 21:22:00,2023-01-15 19:22:00
24,24,reparacion,Es necesario reparar el sistema dañado,alta,"Router TP-Link, Cable UTP",,2023-01-10 23:00:00,2023-01-11 11:00:00
25,25,mantenimiento,Realizar mantenimiento preventivo,alta,Antena de 5GHz,Verificar stock en bodega,2023-01-10 08:11:00,2023-01-12 23:11:00
26,26,reparacion,Es necesario reparar el sistema dañado,alta,,,2023-01-11 16:39:00,2023-01-12 16:39:00
27,27,instalacion,Hay que ir a instalar una nueva conexión,baja,Modem Huawei,Verificar stock en bodega,2023-01-08 09:19:00,2023-01-10 16:19:00
28,28,mantenimiento,Realizar mantenimiento preventivo,urgente,,Verificar stock en bodega,2023-01-13 09:26:00,2023-01-14 21:26:00
29,29,mantenimiento,Realizar mantenimiento preventivo,alta,,Verificar stock en bodega,2023-01-09 21:19:00,2023-01-12 01:19:00
30,30,reparacion,Es necesario reparar el sistema dañado,urgente,Antena de 5GHz,,2023-01-11 03:53:00,2023-01-14 01:53:00
31,31,reparacion,Es necesario reparar el sistema dañado,urgente,"Router TP-Link, Cable UTP",,2023-01-08 15:48:00,2023-01-09 04:48:00
32,32,reparacion,Es necesario reparar el sistema dañado,normal,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-01-14 13:21:00,2023-01-16 05:21:00
33,33,mantenimiento,Realizar mantenimiento preventivo,normal,Modem Huawei,Verificar stock en bodega,2023-01-11 07:37:00,2023-01-13 02:37:00
34,34,reparacion,Es necesario reparar el sistema dañado,urgente,,Verificar stock en bodega,2023-01-09 15:25:00,2023-01-11 07:25:00
35,35,mantenimiento,Realizar mantenimiento preventivo,alta,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-01-14 18:22:00,2023-01-17 16:22:00
36,36,configuracion,Configurar nuevamente el equipo,urgente,Modem Huawei,Verificar stock en bodega,2023-01-13 20:44:00,2023-01-14 19:44:00
37,37,instalacion,Hay que ir a instalar una nueva conexión,baja,"Router TP-Link, Cable UTP",,2023-01-14 21:28:00,2023-01-16 22:28:00
38,38,reparacion,Es necesario reparar el sistema dañado,alta,Modem Huawei,,2023-01-18 04:20:00,2023-01-19 01:20:00
39,39,mantenimiento,Realizar mantenimiento preventivo,alta,Antena de 5GHz,Verificar stock en bodega,2023-01-16 10:53:00,2023-01-16 19:53:00
40,40,mantenimiento,Realizar mantenimiento preventivo,baja,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-01-16 00:53:00,2023-01-18 03:53:00
41,41,reparacion,Es necesario reparar el sistema dañado,alta,Switch de 8 puertos,Verificar stock en bodega,2023-01-19 05:21:00,2023-01-20 13:21:00
42,42,instalacion,Hay que ir a instalar una nueva conexión,urgente,,,2023-01-16 13:23:00,2023-01-16 19:23:00
43,43,mantenimiento,Realizar mantenimiento preventivo,normal,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-01-15 23:04:00,2023-01-18 11:04:00
44,44,mantenimiento,Realizar mantenimiento preventivo,normal,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-01-21 19:37:00,2023-01-24 17:37:00
45,45,instalacion,Hay que ir a instalar una nueva conexión,urgente,,Verificar stock en bodega,2023-01-18 05:45:00,2023-01-20 16:45:00
